Temperature,Heat Capacity,Magnetic Susceptibility,Average Energy,Average Magnetization,binder cumulant
0.3,0.03898632671016521,0.030779649999127894,-1.0099655837819648,0.9999562584118439,0.6666654674049218
0.377778,0.7453364224711851,18.68322680688532,-1.009023381239531,0.9943082077051927,0.6658747763341563
0.455556,3.9212582671821474,19018.091455104994,-1.0029629845430106,0.21733366935483867,0.656907002280829
0.533333,12.17390200133572,10147.263975653064,-0.9761467523712737,0.0009925474254742547,0.5591122929590111
0.56,12.745683922549068,6741.52132399702,-0.9619186582278482,0.011847101932045303,0.4764989617943587
0.567778,13.14792638639743,6168.90412053846,-0.9587088557365919,-0.020135777325186694,0.45439697197846085
0.575556,12.65980156109055,5071.997534135233,-0.9533234062165059,0.0028295819935691274,0.41183203564768656
0.583333,13.126053840025811,4780.167170152805,-0.9503826032553407,0.008801288572397425,0.3798374006016024
0.591111,13.112815663687938,4089.5584324073297,-0.9455760033852404,-0.004551455653351391,0.3488094580760197
0.598889,11.905511130370853,3557.290969333073,-0.9417399208221026,0.0038763477088948756,0.3306302783212839
0.606667,11.76669192026409,3193.1043525011173,-0.938003335980663,0.014635704419889503,0.3063863410873172
0.611111,11.690486144143556,3012.277778955044,-0.936035885743873,-0.0037521574042112546,0.2795836491447212
0.614444,11.710849057106216,2827.7513475897103,-0.9343842446700508,0.0026175972927241936,0.2780905019584887
0.622222,11.608135111261738,2564.2123780171296,-0.9304133176349261,-0.0005947060845651451,0.2453827489124324
0.63,10.91456353225551,2175.965019009025,-0.9270299236797274,-0.011865417376490633,0.2158903352739272
0.688889,11.530850850116236,1188.518378624004,-0.900597746835443,-0.004490249743414307,0.09831726732912971
0.766667,10.959264161983702,634.0962572315307,-0.8655686774413065,0.0004899625723034987,0.08072303273081549
0.844444,10.815401335236006,393.7823830784423,-0.8317096842285323,-0.001241874786178591,0.04624363652637853
0.922222,10.697696890916712,279.0614845243274,-0.7966934491436559,-0.0015291855994407654,0.004629897991039189
1.0,10.401582281350796,205.41980045454406,-0.7621927646234676,0.001973730297723283,-0.005077820438081249
